Date,Price_Close,Price_High,Price_Low,Price_Open,Price_Volume
03-01-2000,35.86407471,36.49866691,34.46027983,36.11406558,53228400
04-01-2000,34.65260315,36.03716887,34.53722267,34.94105434,54119000
05-01-2000,35.01795197,35.80638471,33.65261721,34.19105909,64059600
06-01-2000,33.84491348,35.03717748,33.34493181,34.51796574,54976600
07-01-2000,34.28721237,34.53720326,33.01802784,33.42185928,62013600
10-01-2000,34.53720093,34.97949248,34.26797999,34.90257221,44963600
11-01-2000,33.65260315,35.15254775,33.4410725,34.30642515,46743600
12-01-2000,32.55649567,33.49876872,32.13343429,33.38338835,66532400
13-01-2000,33.17186737,33.42185826,31.2296305,32.11421363,83144000
14-01-2000,34.53720093,35.05641275,32.53727393,32.97956547,73416400
18-01-2000,35.4794693,35.84484053,34.38335561,34.40258568,81483600
19-01-2000,32.92186737,34.30643189,32.61418637,33.99875088,97568200
20-01-2000,32.6141777,33.7487511,32.57571759,32.94108868,56349800
21-01-2000,31.9219017,32.99878513,31.76806121,32.92186489,68416200
24-01-2000,31.1527195,32.51805473,31.01810898,31.936345,63597600
25-01-2000,31.63345718,31.96036829,30.6334938,31.07578529,59823200
26-01-2000,30.57580185,31.84498608,30.49888159,31.51807499,49365000
27-01-2000,30.38350105,31.13347355,29.92197952,30.73444972,63654800
28-01-2000,30.22967529,30.84503764,29.92199412,30.19121515,58225400
31-01-2000,30.11426926,30.21041954,29.19122652,30.03734903,73194200
01-02-2000,31.67191505,31.76806537,30.0565897,30.30658053,70196600
02-02-2000,31.01809311,31.97959631,30.92194279,31.51807477,49915600
03-02-2000,31.88344765,32.05651823,30.80656401,31.40269602,49186000
04-02-2000,32.78727722,33.22956894,32.04211183,32.11422461,55365400
07-02-2000,32.80649948,32.88341976,32.07575682,32.86418969,40005800
08-02-2000,33.82567596,33.84490602,32.74879259,32.74879259,56229000
09-02-2000,31.99882889,33.67184458,31.96036876,33.67184458,55090000
10-02-2000,32.6141777,32.78724822,31.53729448,31.96516326,54527800
11-02-2000,30.74887085,32.26804583,30.49888003,32.26804583,115559000
14-02-2000,30.65272522,31.30654746,30.47965463,31.14789942,81028600
15-02-2000,30.32581139,30.76810286,30.19120094,30.69118261,71027600
16-02-2000,30.03735924,30.82579184,29.88351873,30.53734089,65202600
17-02-2000,30.65272522,30.67195529,29.8883301,30.30658403,80343400
18-02-2000,29.24893188,30.78733724,29.19124168,30.76810718,79063000
22-02-2000,28.86431503,29.88350804,28.55663413,29.26814622,66296200
23-02-2000,28.99894142,29.46046304,28.32588907,28.76818061,75847200
24-02-2000,29.15278816,29.49892945,28.30666502,28.99894759,69733200
25-02-2000,28.0951252,29.13835623,27.84513435,29.13354872,65301400
28-02-2000,28.17204857,28.34511917,27.11439487,27.76821716,76131800
29-02-2000,27.49900436,28.22974714,27.34516378,28.22974714,58437400
01-03-2000,27.94128609,28.95086456,27.3643841,27.57591483,106889800
02-03-2000,28.72972107,29.34508323,28.03743863,28.24896938,106932600
03-03-2000,29.57583809,30.4219609,28.88355579,29.15277669,101435200
06-03-2000,27.88359833,29.96044565,27.72975779,29.53738416,93609400
07-03-2000,28.57587433,29.99889903,28.28742338,29.57583763,135061000
08-03-2000,29.40277863,29.59507934,27.99898344,28.86433664,94290000
09-03-2000,30.76810646,30.76810646,29.22970114,29.32585147,88198800
10-03-2000,31.07579041,31.53731204,30.61426877,30.63349883,85589000
13-03-2000,30.15273666,30.84501888,29.99889617,30.03735629,61831800
14-03-2000,29.26817131,30.53735614,29.26817131,30.34505541,73489200
15-03-2000,29.34509277,29.72969425,28.82588078,29.09510181,53208000
16-03-2000,29.34509277,29.74892433,28.69127026,29.51816344,77300800
17-03-2000,30.57580185,30.61426198,29.07585685,29.30661762,81161600
20-03-2000,29.96043777,30.69118016,29.6912169,30.38349916,47773000
21-03-2000,31.6142292,31.7296096,29.69122256,29.76814283,81648800
22-03-2000,31.76806831,32.49881081,31.11424608,31.63345785,93975800
23-03-2000,34.42182159,34.72950268,32.80649589,32.86418609,148224000
24-03-2000,34.36411667,35.38330983,33.71029464,34.65256756,112196800
27-03-2000,32.01806641,33.30648109,31.97960627,33.15744805,111434000
28-03-2000,32.09497833,33.05648158,31.49884632,31.88344762,81114400
29-03-2000,32.9795723,33.51801429,32.34497994,32.36421001,64363800
30-03-2000,31.80653763,33.4218636,31.53731663,32.67189083,64178400
31-03-2000,32.69112015,33.30648241,32.03729774,32.61419987,64281400
03-04-2000,27.96051979,29.69122597,27.69129883,29.0566337,260118200
04-04-2000,27.24900055,28.30665406,26.13365684,28.17204362,181244400
05-04-2000,26.5759449,27.22976699,26.42210441,27.15284674,82887600
06-04-2000,26.46056747,27.07592951,26.23461423,27.03746938,66421400
07-04-2000,27.4028492,27.49899955,26.15289467,26.7682569,82613600
10-04-2000,26.47981453,27.26824764,26.46058445,27.26824764,60685400
11-04-2000,25.80676842,26.47982124,25.69138793,26.19137003,71961800
12-04-2000,24.42218208,25.30676506,24.22988144,25.26830493,153003800
13-04-2000,24.38372803,25.30677136,24.30680775,24.88370983,94316200
14-04-2000,22.80686188,24.46064781,22.53764091,24.3452674,151217800
17-04-2000,23.34530449,23.38376463,22.46072129,22.84532268,119772200
18-04-2000,24.7875576,25.2106191,23.3453025,23.53760318,91794600
19-04-2000,24.21065903,25.07601221,24.03758839,25.05678214,53715400
20-04-2000,24.28758049,24.57603156,23.84528884,24.19143013,52387400
24-04-2000,20.49925423,20.92231576,19.99927242,20.69155492,313645800
25-04-2000,21.34537315,21.38383329,20.80693131,21.15307249,159517400
26-04-2000,20.92230988,21.88381309,20.73000923,21.53767193,107091200
27-04-2000,21.4799881,21.51844824,20.73001537,20.74924544,77669800
28-04-2000,21.4607563,21.84535767,20.99923466,21.7684374,78082600
01-05-2000,22.59533119,22.76840181,22.05688926,22.42226057,107811000
02-05-2000,21.49921417,22.61455802,21.38383377,22.40302729,97716200
03-05-2000,21.71073914,21.78765938,21.17229742,21.65304895,55354800
04-05-2000,21.67228508,21.92227595,21.32614388,21.63382495,43317200
05-05-2000,21.88381577,22.0953465,21.49921443,21.61459483,36402200
08-05-2000,21.4799881,21.96073985,21.44152796,21.82612936,36187600
09-05-2000,20.86462593,21.67228887,20.76847558,21.59536859,60778400
10-05-2000,20.36463928,20.88385105,20.23002882,20.84539092,67740000
11-05-2000,20.88385391,20.96077418,20.2300316,20.49925255,58390800
12-05-2000,21.17230797,21.46075903,20.99923733,21.05692754,37886000
15-05-2000,21.34537315,21.36460322,20.9223117,21.22999276,33899600
16-05-2000,21.38383865,21.72997993,21.24922816,21.40306872,48410600
17-05-2000,20.82616615,21.26845777,20.69155566,21.19153749,53242000
18-05-2000,20.36463928,20.94154124,20.26848896,20.94154124,53640400
19-05-2000,20.01850128,20.28772224,19.84543067,20.11465162,66578000
22-05-2000,19.74927711,20.07618823,19.21083529,20.0377281,69955000
23-05-2000,19.44159317,20.17233554,19.40313305,19.65312386,57963200
24-05-2000,20.17233849,20.48001953,19.38390581,19.42236594,85482400
25-05-2000,18.92238235,19.92234565,18.80700197,19.86465546,94348800
26-05-2000,18.90315628,19.26852756,18.57624513,19.09545695,55822000
30-05-2000,19.49928856,19.73004937,19.07622707,19.21083754,68536400
31-05-2000,19.24929619,19.6002449,19.09545566,19.58101483,54968200
01-06-2000,19.86465836,20.30694988,19.63389756,19.80696816,94507200
02-06-2000,20.40310478,20.53771528,19.9992733,20.30695443,80463200
05-06-2000,20.57617569,21.03769739,20.3069547,20.31176222,64400000
06-06-2000,21.4222908,21.49921106,20.86461896,20.97999934,99019000
07-06-2000,21.69151306,21.76843332,20.65308956,21.30691177,76310600
08-06-2000,21.17230797,22.19150172,20.99923733,22.01843108,94765600
09-06-2000,21.17230797,21.44152896,21.0184674,21.42229889,35710200
12-06-2000,20.57617569,21.22999809,20.42233512,21.22999809,49260600
13-06-2000,20.88385391,20.92231405,20.34541201,20.53771269,44289200
14-06-2000,21.69151306,21.84535358,21.38383203,21.47998235,79992400
15-06-2000,22.26841927,22.36456961,21.72997735,21.78766755,65592600
16-06-2000,22.32610321,22.49917378,21.99919214,22.34533327,68710600
19-06-2000,22.67224884,22.71070897,22.15303703,22.32610764,46604800
20-06-2000,23.05685997,23.15301035,22.69148854,22.72994869,62275000
21-06-2000,24.82601166,25.28753318,23.67220786,23.69143793,160399600
22-06-2000,24.57601929,25.2298414,24.40294873,25.03754078,87315200
23-06-2000,23.90297508,24.63371768,23.69144433,24.59525755,49811600
26-06-2000,24.46064758,24.65294827,23.84528538,23.84528538,48287000
27-06-2000,24.24912071,24.65295222,24.11451021,24.38373122,31071200
28-06-2000,24.28758049,24.63372178,24.19143013,24.30681056,37459200
29-06-2000,23.74913788,24.28757987,23.71067774,24.07604909,38449000
30-06-2000,24.61449814,24.61449814,23.59530407,23.71068453,52356400
03-07-2000,24.61449814,24.63372822,24.42219737,24.51834776,15734800
05-07-2000,24.15296745,24.57602898,24.07604717,24.57602898,34824400
06-07-2000,24.90293694,25.13369774,24.15296432,24.26834472,47873200
07-07-2000,25.22985458,25.49907559,24.78756293,25.00390124,54153200
10-07-2000,24.44141388,25.01831586,24.42218381,24.8260152,52689800
11-07-2000,24.34526443,24.7683259,24.15296377,24.2491141,37164800
12-07-2000,24.71064758,24.92217842,23.74914379,24.07605508,58370200
13-07-2000,24.5952549,24.61448496,23.80682218,24.2491137,80843200
14-07-2000,24.28758049,24.53757142,24.13373992,24.46065113,51180600
17-07-2000,24.05681992,24.4798815,23.84528913,24.07604999,53992800
18-07-2000,24.15296745,24.46064857,23.82605627,23.88374648,70617200
19-07-2000,22.49917603,23.84528057,22.4030257,23.40298908,139924600
20-07-2000,23.01839256,23.15300305,22.4991807,22.59533105,54690600
21-07-2000,22.24919319,23.07608628,22.11458269,22.999166,56100600
24-07-2000,21.71073914,22.19149067,21.53766858,22.17226061,56165600
25-07-2000,21.22999954,21.84536185,21.03769882,21.78767163,64188600
26-07-2000,20.86462593,21.38383782,20.6915553,21.24922733,85404600
27-07-2000,21.34537315,21.57613394,20.76847118,20.88385157,74337600
28-07-2000,21.44153214,22.09535464,21.42230206,21.82613361,75645600
31-07-2000,21.4799881,21.88381957,21.30691747,21.59536852,70283800
01-08-2000,21.13384438,21.55690586,20.98000383,21.51844573,47163600
02-08-2000,21.34537315,21.67228427,21.07615223,21.0953823,48269200
03-08-2000,21.61458969,21.65304982,20.96076758,20.97999765,54543400
04-08-2000,21.26845551,21.49921632,20.98000448,21.36460585,38107400
07-08-2000,21.53767204,21.8838132,21.46075179,21.59536224,52741800
08-08-2000,22.80686188,22.9799325,21.53767732,21.55690739,138038800
09-08-2000,22.84531212,23.03761273,22.49917103,22.69147163,63945600
10-08-2000,22.34533691,22.78762844,22.07611599,22.71070817,48986000
11-08-2000,22.28765297,22.36457326,22.03766204,22.28765297,35629600
14-08-2000,22.21072769,22.57609897,21.96073682,22.24918783,53427000
15-08-2000,22.03766441,22.46072603,21.99920427,22.15304486,40714200
16-08-2000,21.84535789,22.22995927,21.71074741,22.11457885,44976200
17-08-2000,22.01841545,22.15302585,21.71073454,21.88380505,36112800
18-08-2000,21.84535789,21.97996837,21.5376768,21.88381803,54438800
21-08-2000,21.72997093,21.78766112,21.55690037,21.74920099,34119600
22-08-2000,21.92226982,22.28764098,21.60497381,21.78765939,54428200
23-08-2000,21.76843262,21.883813,21.65305223,21.78766268,36726800
24-08-2000,21.88381577,21.90304583,21.5184445,21.72997523,42405400
25-08-2000,21.72997093,22.056882,21.71074087,21.74920099,52729400
28-08-2000,21.94150352,22.19149436,21.5761323,21.59536236,56421600
29-08-2000,21.82613754,22.38380978,21.80690747,21.90305785,59400200
30-08-2000,21.53767204,21.82612301,21.44152172,21.74920275,53498800
31-08-2000,21.4799881,22.15304055,21.44152796,21.80689929,72575400
01-09-2000,21.59536934,21.72997983,21.44152877,21.53767913,37629800
05-09-2000,21.57612419,21.74919471,21.47997391,21.53766408,50755200
06-09-2000,21.36459541,21.74919659,21.3261353,21.556896,62960800
07-09-2000,21.55690956,22.17227183,21.36460885,21.53767949,111711200
08-09-2000,21.32614517,21.80689687,21.28768504,21.65305632,56709600
11-09-2000,21.17230797,21.44152896,20.94154712,21.26845832,48495200
12-09-2000,20.96076965,21.32614087,20.80692914,21.15307029,46781200
13-09-2000,20.99922752,21.15306802,20.67231647,20.78769684,40744800
14-09-2000,20.24925804,21.15307108,20.21079791,21.13384101,78503000
15-09-2000,19.74927711,20.19156862,19.4800562,20.13387842,99915200
18-09-2000,19.38391304,19.88389492,19.1339221,19.76851449,69037800
19-09-2000,19.99927521,20.23003608,19.49929333,19.57621362,79311200
20-09-2000,19.76850891,19.99926972,19.44159777,19.96080958,67791400
21-09-2000,19.74927711,20.0377281,19.55697646,19.69158692,48952200
22-09-2000,19.46082878,19.53774905,18.76854633,18.80700647,84476600
25-09-2000,18.84546852,19.53775104,18.59547761,19.46083076,53484200
26-09-2000,19.28775597,20.26848932,18.5954736,18.74931412,155704800
27-09-2000,18.65316963,19.55698301,18.4031787,19.51852286,106155600
28-09-2000,18.8646965,19.03776711,18.65316576,18.71085596,52360400
29-09-2000,18.55701065,18.86469166,18.03779895,18.76854134,74053600
02-10-2000,18.19164085,18.71085259,17.92241995,18.61470227,58562400
03-10-2000,17.40321541,18.40317917,17.38398534,18.32625888,85374000
04-10-2000,17.05706978,17.40321099,16.76861877,17.34552079,136453400
05-10-2000,17.03783989,17.61474192,16.99937975,17.07630002,81099400
06-10-2000,17.09552574,17.46089693,16.84553493,17.17244599,61794000
09-10-2000,16.67245865,17.15321005,16.30708758,17.11474994,58323600
10-10-2000,16.78784943,17.09553052,16.55708861,16.59554875,62066200
11-10-2000,17.15321732,17.51858854,16.61477552,16.61477552,101205800
12-10-2000,16.73015594,17.49935852,16.55708537,17.32628794,90219600
13-10-2000,16.53785706,16.88399825,16.03787533,16.57631719,104521200
16-10-2000,15.49943638,16.55709023,15.24944547,16.46093988,119759000
17-10-2000,15.51866055,16.13402255,15.46097036,15.96095199,81276600
18-10-2000,15.92250156,16.38402335,14.90330762,15.26867904,110536400
19-10-2000,19.0377655,19.13391583,17.8455014,17.98011186,256993200
20-10-2000,20.05695343,20.34540434,18.80699948,18.86468966,160378600
23-10-2000,19.11468697,20.38387141,18.67239542,19.88388966,185170400
24-10-2000,18.92238235,19.36467381,18.51855102,19.2685235,94427400
25-10-2000,18.84546852,19.51852097,18.59547761,19.05699929,167603800
26-10-2000,19.82619286,20.01849347,18.71084932,18.7685395,114826600
27-10-2000,20.82616615,21.28768784,19.88389271,19.90312278,124292400
30-10-2000,21.24921417,21.57612516,20.7300026,20.76846272,110057600
31-10-2000,21.19153023,21.38383086,20.92230934,21.22999036,104474000
01-11-2000,21.4222908,21.55690125,21.05691959,21.07614966,81309400
02-11-2000,21.6338253,21.79728087,21.42229457,21.65305537,77985200
03-11-2000,20.99922752,21.42228888,20.94153734,21.30690851,68711000
06-11-2000,21.38383865,21.57613936,20.99923724,21.13384773,74851400
07-11-2000,21.69151306,22.11457449,21.38383203,21.46075228,104331200
08-11-2000,21.36459541,22.26840818,20.92230406,21.883807,206149400
09-11-2000,21.80689621,21.94150668,21.05692359,21.07615366,91058600
10-11-2000,20.73000336,21.63381612,20.55693283,21.51843577,93744400
13-11-2000,20.44155884,20.96077059,19.81658173,20.5184791,83364800
14-11-2000,21.17230797,21.4799891,20.71078627,20.92231705,84218600
15-11-2000,21.55690956,21.80690048,21.133848,21.24922843,60422200
